rgn_id,sciname,iucn_sid,year,eval_yr,category
1,Alopias vulpinus,39339,2020,2019,VU
1,Balaenoptera borealis,2475,2020,2018,EN
1,Balaenoptera musculus,2477,2020,2018,EN
1,Balaenoptera physalus,2478,2020,2018,VU
1,Carcharodon carcharias,3855,2020,2019,VU
1,Caretta caretta,3897,2020,2015,VU
1,Caretta caretta,84156809,2020,2015,CR
1,Cetorhinus maximus,4292,2020,2019,EN
1,Chelonia mydas,4615,2020,2004,EN
1,Dermochelys coriacea,6494,2020,2013,VU
1,Dermochelys coriacea,46967807,2020,2013,CR
1,Engraulis ringens,183775,2020,2010,LC
1,Galeocerdo cuvier,39378,2020,2019,NT
1,Isurus oxyrinchus,39341,2020,2019,EN
1,Isurus oxyrinchus,161751,2020,2009,NT
1,Isurus paucus,60225,2020,2019,EN
1,Lepidochelys olivacea,11534,2020,2008,VU
1,Megachasma pelagios,39338,2020,2019,LC
1,Megaptera novaeangliae,13006,2020,2018,LC
1,Prionace glauca,39381,2020,2019,NT
1,Rhincodon typus,19488,2020,2016,EN
1,Steno bredanensis,20738,2020,2019,LC
1,Alopias vulpinus,39339,2019,2019,VU
1,Balaenoptera borealis,2475,2019,2018,EN
1,Balaenoptera musculus,2477,2019,2018,EN
1,Balaenoptera physalus,2478,2019,2018,VU
1,Carcharodon carcharias,3855,2019,2019,VU
1,Caretta caretta,3897,2019,2015,VU
1,Caretta caretta,84156809,2019,2015,CR
1,Cetorhinus maximus,4292,2019,2019,EN
1,Chelonia mydas,4615,2019,2004,EN
1,Dermochelys coriacea,6494,2019,2013,VU
1,Dermochelys coriacea,46967807,2019,2013,CR
1,Engraulis ringens,183775,2019,2010,LC
1,Galeocerdo cuvier,39378,2019,2019,NT
1,Isurus oxyrinchus,39341,2019,2019,EN
1,Isurus oxyrinchus,161751,2019,2009,NT
1,Isurus paucus,60225,2019,2019,EN
1,Lepidochelys olivacea,11534,2019,2008,VU
1,Megachasma pelagios,39338,2019,2019,LC
1,Megaptera novaeangliae,13006,2019,2018,LC
1,Prionace glauca,39381,2019,2019,NT
1,Rhincodon typus,19488,2019,2016,EN
1,Steno bredanensis,20738,2019,2019,LC
1,Alopias vulpinus,39339,2018,2009,VU
1,Balaenoptera borealis,2475,2018,2018,EN
1,Balaenoptera musculus,2477,2018,2018,EN
1,Balaenoptera physalus,2478,2018,2018,VU
1,Carcharodon carcharias,3855,2018,2009,VU
1,Caretta caretta,3897,2018,2015,VU
1,Caretta caretta,84156809,2018,2015,CR
