rgn_id,product,year,tonnes
1,corals,1994,45
1,corals,1995,38
1,corals,1996,48.6666666666667
1,corals,1997,46.75
1,corals,1998,37
1,corals,1999,31.75
1,corals,2000,14.75
1,corals,2001,5.75
1,corals,2002,4.5
1,corals,2003,2.25
1,corals,2004,3.5
1,corals,2005,2.275
1,corals,2006,2.05
1,corals,2007,82.3
1,corals,2008,81.55
1,corals,2009,81.525
1,corals,2010,81.5
1,corals,2011,1.025
1,corals,2012,0.025
1,corals,2013,0.025
1,corals,2014,0.025
1,corals,2015,0
1,fish_oil,1976,3853
1,fish_oil,1977,4179.5
1,fish_oil,1978,5286.33333333333
1,fish_oil,1979,4714.75
1,fish_oil,1980,3751.5
1,fish_oil,1981,2625
1,fish_oil,1982,750
1,fish_oil,1983,0
1,fish_oil,1984,0
1,fish_oil,1985,1364.5
1,fish_oil,1986,3169
1,fish_oil,1987,3169
1,fish_oil,1988,3169
1,fish_oil,1989,1804.5
1,fish_oil,1990,0
1,fish_oil,1991,0
1,fish_oil,1992,0
1,fish_oil,1993,0
1,fish_oil,1994,7.5
1,fish_oil,1995,12.5
1,fish_oil,1996,93.25
1,fish_oil,1997,947.5
1,fish_oil,1998,940
1,fish_oil,1999,1019.5
1,fish_oil,2000,1039.75
1,fish_oil,2001,1281.75
1,fish_oil,2002,1426.525
1,fish_oil,2003,2785.275
1,fish_oil,2004,5323.775
1,fish_oil,2005,6594.525
1,fish_oil,2006,7456
1,fish_oil,2007,8207.75
1,fish_oil,2008,7129.5
1,fish_oil,2009,7460.5
1,fish_oil,2010,8597
1,fish_oil,2011,8836
1,fish_oil,2012,11277.5
1,fish_oil,2013,12986.75
1,fish_oil,2014,13581.75
1,fish_oil,2015,14156.75
1,ornamentals,1976,1
1,ornamentals,1977,1.5
1,ornamentals,1978,1.33333333333333
1,ornamentals,1979,1.25
1,ornamentals,1980,1.25
1,ornamentals,1981,1
1,ornamentals,1982,1
1,ornamentals,1983,0.775
1,ornamentals,1984,0.775
1,ornamentals,1985,3.775
1,ornamentals,1986,3.55
1,ornamentals,1987,3.525
1,ornamentals,1988,6.275
1,ornamentals,1989,8.525
1,ornamentals,1990,17.75
1,ornamentals,1991,25.25
1,ornamentals,1992,27
1,ornamentals,1993,27.25
1,ornamentals,1994,25
1,ornamentals,1995,25.5
1,ornamentals,1996,31.5
1,ornamentals,1997,41.75
1,ornamentals,1998,49
1,ornamentals,1999,50.5
1,ornamentals,2000,49
1,ornamentals,2001,46.25
1,ornamentals,2002,46.5
1,ornamentals,2003,50.75
1,ornamentals,2004,43.25
1,ornamentals,2005,32.75
1,ornamentals,2006,23.75
1,ornamentals,2007,12.5
1,ornamentals,2008,12.25
1,ornamentals,2009,12
1,ornamentals,2010,11.5
1,ornamentals,2011,13.75
1,ornamentals,2012,18.25
1,ornamentals,2013,15.75
1,ornamentals,2014,10.75
1,ornamentals,2015,6
1,seaweeds,1996,0.1
1,seaweeds,1997,1.55
1,seaweeds,1998,1.03333333333333
1,seaweeds,1999,2.775
1,seaweeds,2000,5
1,seaweeds,2001,5.75
1,seaweeds,2002,7
1,seaweeds,2003,6.75
1,seaweeds,2004,6
1,seaweeds,2005,6.25
1,seaweeds,2006,8.5
1,seaweeds,2007,12.25
1,seaweeds,2008,16.75
1,seaweeds,2009,18.75
1,seaweeds,2010,22
1,seaweeds,2011,23
1,seaweeds,2012,24
1,seaweeds,2013,22
1,seaweeds,2014,15.25
1,seaweeds,2015,8.75
2,corals,1994,45
2,corals,1995,38
2,corals,1996,48.6666666666667
2,corals,1997,46.75
2,corals,1998,37
2,corals,1999,31.75
2,corals,2000,14.75
2,corals,2001,5.75
2,corals,2002,4.5
2,corals,2003,2.25
2,corals,2004,3.5
2,corals,2005,2.275
2,corals,2006,2.05
2,corals,2007,82.3
2,corals,2008,81.55
2,corals,2009,81.525
2,corals,2010,81.5
2,corals,2011,1.025
2,corals,2012,0.025
2,corals,2013,0.025
2,corals,2014,0.025
2,corals,2015,0
2,fish_oil,1976,3853
2,fish_oil,1977,4179.5
2,fish_oil,1978,5286.33333333333
2,fish_oil,1979,4714.75
2,fish_oil,1980,3751.5
2,fish_oil,1981,2625
2,fish_oil,1982,750
2,fish_oil,1983,0
2,fish_oil,1984,0
2,fish_oil,1985,1364.5
2,fish_oil,1986,3169
2,fish_oil,1987,3169
2,fish_oil,1988,3169
2,fish_oil,1989,1804.5
2,fish_oil,1990,0
2,fish_oil,1991,0
2,fish_oil,1992,0
2,fish_oil,1993,0
2,fish_oil,1994,7.5
2,fish_oil,1995,12.5
2,fish_oil,1996,93.25
2,fish_oil,1997,947.5
2,fish_oil,1998,940
2,fish_oil,1999,1019.5
2,fish_oil,2000,1039.75
2,fish_oil,2001,1281.75
2,fish_oil,2002,1426.525
2,fish_oil,2003,2785.275
2,fish_oil,2004,5323.775
2,fish_oil,2005,6594.525
2,fish_oil,2006,7456
2,fish_oil,2007,8207.75
2,fish_oil,2008,7129.5
2,fish_oil,2009,7460.5
2,fish_oil,2010,8597
2,fish_oil,2011,8836
2,fish_oil,2012,11277.5
2,fish_oil,2013,12986.75
2,fish_oil,2014,13581.75
2,fish_oil,2015,14156.75
2,ornamentals,1976,1
2,ornamentals,1977,1.5
2,ornamentals,1978,1.33333333333333
2,ornamentals,1979,1.25
2,ornamentals,1980,1.25
2,ornamentals,1981,1
2,ornamentals,1982,1
2,ornamentals,1983,0.775
2,ornamentals,1984,0.775
2,ornamentals,1985,3.775
2,ornamentals,1986,3.55
2,ornamentals,1987,3.525
2,ornamentals,1988,6.275
2,ornamentals,1989,8.525
2,ornamentals,1990,17.75
2,ornamentals,1991,25.25
2,ornamentals,1992,27
2,ornamentals,1993,27.25
2,ornamentals,1994,25
2,ornamentals,1995,25.5
2,ornamentals,1996,31.5
2,ornamentals,1997,41.75
2,ornamentals,1998,49
2,ornamentals,1999,50.5
