rgn_id,product,year,tonnes_rel
6,corals,1994,0.841200112160015
6,corals,1995,0.710346761379568
6,corals,1996,0.909742343521201
6,corals,1997,0.873913449855127
6,corals,1998,0.69165342555379
6,corals,1999,0.593513412468455
6,corals,2000,0.275726703430227
6,corals,2001,0.107486680998224
6,corals,2002,0.0841200112160015
6,corals,2003,0.0420600056080008
6,corals,2004,0.0654266753902234
6,corals,2005,0.0425273390036452
6,corals,2006,0.0383213384428451
6,corals,2007,1
6,corals,2008,1
6,corals,2009,1
6,corals,2010,1
6,corals,2011,0.0191606692214226
6,corals,2012,4.67333395644453e-4
6,corals,2013,4.67333395644453e-4
6,corals,2014,4.67333395644453e-4
6,corals,2015,0
6,fish_oil,1976,0.418718442276109
6,fish_oil,1977,0.454200293146379
6,fish_oil,1978,0.574483586474333
6,fish_oil,1979,0.512367707168774
6,fish_oil,1980,0.407688096599746
6,fish_oil,1981,0.285267560595584
6,fish_oil,1982,0.0815050173130241
6,fish_oil,1983,0
6,fish_oil,1984,0
6,fish_oil,1985,0.148284794831495
6,fish_oil,1986,0.344385866486631
6,fish_oil,1987,0.344385866486631
6,fish_oil,1988,0.344385866486631
6,fish_oil,1989,0.196101071655136
6,fish_oil,1990,0
6,fish_oil,1991,0
6,fish_oil,1992,0
6,fish_oil,1993,0
6,fish_oil,1994,8.15050173130241e-4
6,fish_oil,1995,0.00135841695521707
6,fish_oil,1996,0.0101337904859193
6,fish_oil,1997,0.102968005205454
6,fish_oil,1998,0.102152955032324
6,fish_oil,1999,0.110792486867504
6,fish_oil,2000,0.112993122334956
6,fish_oil,2001,0.139292074587958
6,fish_oil,2002,0.155025259763282
6,fish_oil,2003,0.302685182795378
6,fish_oil,2004,0.57855249806086
6,fish_oil,2005,0.716649165728227
6,fish_oil,2006,0.810268545447877
6,fish_oil,2007,0.891963741134631
6,fish_oil,2008,0.774786694577607
6,fish_oil,2009,0.810757575551755
6,fish_oil,2010,0.934264845120091
6,fish_oil,2011,0.960237777303841
6,fish_oil,2012,1
6,fish_oil,2013,1
6,fish_oil,2014,1
6,fish_oil,2015,1
6,ornamentals,1976,0.0303145130731338
6,ornamentals,1977,0.0454717696097006
6,ornamentals,1978,0.0404193507641783
6,ornamentals,1979,0.0378931413414172
6,ornamentals,1980,0.0378931413414172
6,ornamentals,1981,0.0303145130731338
6,ornamentals,1982,0.0303145130731338
6,ornamentals,1983,0.0234937476316787
6,ornamentals,1984,0.0234937476316787
6,ornamentals,1985,0.11443728685108
6,ornamentals,1986,0.107616521409625
6,ornamentals,1987,0.106858658582797
6,ornamentals,1988,0.190223569533914
6,ornamentals,1989,0.258431223948465
6,ornamentals,1990,0.538082607048124
6,ornamentals,1991,0.765441455096627
6,ornamentals,1992,0.818491852974611
6,ornamentals,1993,0.826070481242895
6,ornamentals,1994,0.757862826828344
6,ornamentals,1995,0.773020083364911
6,ornamentals,1996,0.954907161803713
6,ornamentals,1997,1
6,ornamentals,1998,1
6,ornamentals,1999,1
6,ornamentals,2000,1
6,ornamentals,2001,1
6,ornamentals,2002,1
6,ornamentals,2003,1
6,ornamentals,2004,1
6,ornamentals,2005,0.992800303145131
6,ornamentals,2006,0.719969685486927
6,ornamentals,2007,0.378931413414172
6,ornamentals,2008,0.371352785145889
6,ornamentals,2009,0.363774156877605
6,ornamentals,2010,0.348616900341038
6,ornamentals,2011,0.416824554755589
6,ornamentals,2012,0.553239863584691
6,ornamentals,2013,0.477453580901857
6,ornamentals,2014,0.325881015536188
6,ornamentals,2015,0.181887078438803
6,seaweeds,1996,0.00641025641025641
6,seaweeds,1997,0.0993589743589744
6,seaweeds,1998,0.0662393162393162
6,seaweeds,1999,0.177884615384615
6,seaweeds,2000,0.32051282051282
6,seaweeds,2001,0.368589743589744
6,seaweeds,2002,0.448717948717949
6,seaweeds,2003,0.432692307692308
6,seaweeds,2004,0.384615384615385
6,seaweeds,2005,0.400641025641026
6,seaweeds,2006,0.544871794871795
6,seaweeds,2007,0.78525641025641
6,seaweeds,2008,1
6,seaweeds,2009,1
6,seaweeds,2010,1
6,seaweeds,2011,1
6,seaweeds,2012,1
6,seaweeds,2013,1
6,seaweeds,2014,0.977564102564102
